iter	RMSE
204	0.4552163241
205	0.4543503092
206	0.453739704
207	0.4534429223
208	0.4524814367
209	0.4513042424
210	0.4504708145
211	0.4486113479
212	0.4477031403
213	0.4465521665
214	0.4456464454
215	0.4448439101
216	0.4439493234
217	0.4429214671
218	0.4422949517
219	0.4417988478
220	0.4406404457
221	0.4402754445
222	0.4399319385
223	0.4391873634
224	0.4379450222
225	0.4373339752
226	0.4368551758
227	0.4358097207
228	0.4353685166
229	0.4343071982
230	0.4337741435
231	0.433215419
232	0.4324998785
233	0.4315538591
234	0.4310792064
235	0.4306428393
236	0.4300854541
237	0.4295517506
238	0.4284858306
239	0.4274747549
240	0.4267392852
241	0.4259101845
242	0.425485492
243	0.4250718164
244	0.4236357645
245	0.4233026101
246	0.4228900061
247	0.4225866733
248	0.422124648
249	0.4218424122
250	0.421452783
251	0.4206826837
252	0.4193055017
253	0.418391895
254	0.4180066664
255	0.417266456
256	0.4171179369
257	0.4168795437
258	0.4160672762
259	0.4155412023
260	0.4143130871
261	0.4130800614
262	0.4122897828
263	0.4111966166
264	0.4104144258
265	0.4088472227
266	0.4084389068
267	0.4079903025
268	0.4071928829
269	0.4067699982
270	0.4056197017
271	0.4043629619
272	0.4040253469
273	0.4037109843
274	0.4027081022
275	0.4015307081
276	0.4009964671
277	0.4002859494
278	0.3993256552
279	0.3990015422
280	0.3978862566
281	0.397479323
282	0.3969866646
283	0.3964890624
284	0.3958166993
285	0.3956539193
286	0.3953373316
287	0.3951605817
288	0.3948033288
289	0.394415354
290	0.3938469742
291	0.393412232
292	0.3928855096
293	0.3926993729
294	0.3918526365
295	0.3916032013
296	0.3910894987
297	0.3903579856
298	0.3890043557
299	0.3887351745
300	0.3875126287
301	0.3865891461
302	0.3857409981
303	0.3855450233
304	0.3852456978
305	0.384602779
306	0.3837201165
307	0.3831609737
308	0.3822024694
309	0.3815685973
310	0.3812270743
311	0.380661551
312	0.3797869281
313	0.3792883741
314	0.3789801341
315	0.3787733201
316	0.3779200898
317	0.3776424432
318	0.3772697614
319	0.3769941067
320	0.3768154855
321	0.376270904
322	0.3754920146
323	0.3750876809
324	0.3742753238
325	0.3739821738
326	0.3736435385
327	0.3733628695
328	0.3721718179
329	0.3714026395
330	0.3711864128
331	0.3706902259
332	0.3699910799
333	0.369266901
334	0.3686546734
335	0.3678164065
336	0.367512714
337	0.367289608
338	0.3666199677
339	0.3664266827
340	0.3660179066
341	0.365754744
342	0.3655457819
343	0.3653910013
344	0.3652086149
345	0.3644423365
346	0.3640147914
347	0.3633945768
348	0.3631230547
349	0.3629372659
350	0.3624075677
351	0.3621656339
352	0.3615219619
353	0.3611921775
354	0.35996932
355	0.3590151837
356	0.3586307561
357	0.35795979
358	0.3577658986
359	0.3571447907
360	0.3560554598
361	0.3556914229
362	0.3554574568
363	0.3551774564
364	0.3547689767
365	0.3542063029
366	0.3530157426
367	0.3521335625
368	0.3519002669
369	0.3507936032
370	0.3505883545
371	0.3502373302
372	0.34922325
373	0.3490085681
374	0.3483503009
375	0.3481679676
376	0.3477667422
377	0.3473088186
378	0.3461600146
379	0.3454627369
380	0.3447393219
381	0.344327812
382	0.3440062748
383	0.3430454299
384	0.3427763513
385	0.3422150306
386	0.3418625904
387	0.3413130165
388	0.3411472339
389	0.3408116111
390	0.3403721033
391	0.3397218293
392	0.3391180692
393	0.3384852599
394	0.3382344755
395	0.3378754311
396	0.3371490418
397	0.3365185028
398	0.3364191088
399	0.3362972146
400	0.3360955475
401	0.3356091282
402	0.3354850181
403	0.3351647273
404	0.3347959118
405	0.334200035
406	0.3340476957
407	0.3336848332
408	0.3335671994
409	0.3325936117
410	0.3316994897
411	0.3310461809
412	0.3309848421
413	0.3306746147
414	0.3304830733
415	0.3300598335
416	0.3298687903
417	0.329388321
418	0.329054689
419	0.3285239612
420	0.3279570497
421	0.32776871
422	0.3272365546
423	0.327080888
424	0.3268738995
425	0.3258587844
426	0.3253889483
427	0.325135679
428	0.3248077946
429	0.3241822943
430	0.3235339846
431	0.3233388811
432	0.3224500754
433	0.3217218948
434	0.320910934
435	0.320197271
436	0.3197786114
437	0.3196663684
438	0.3195510049
439	0.3192723958
440	0.318672904
441	0.3185791969
442	0.3182062113
443	0.3180975867
444	0.3179041565
445	0.316950857
446	0.3164669439
447	0.3163452515
448	0.3158884987
449	0.3155557225
450	0.3145107443
451	0.3143428887
452	0.3142562207
453	0.31412294
454	0.3135525578
455	0.3134604045
456	0.3129646131
457	0.3125746706
458	0.3124742282
459	0.3122761999
460	0.3119714347
461	0.3113674408
462	0.310992901
463	0.3104747877
464	0.3103811964
465	0.3102953506
466	0.30973988
467	0.3091213483
468	0.3088909846
469	0.3084825134
470	0.3082003597
471	0.3077575532
472	0.3071067069
473	0.3068525566
474	0.3063041486
475	0.3060048345
476	0.3055837041
477	0.3053064286
478	0.3049227025
479	0.3048324894
480	0.3045394705
481	0.3039301819
482	0.3036879485
483	0.3034494632
484	0.303184618
485	0.3028460202
486	0.3023749573
487	0.3021358967
488	0.3017491029
489	0.3007737659
490	0.3006669136
491	0.3004255985
492	0.3002427473
493	0.3001567698
494	0.2999891759
495	0.2996503367
496	0.2995663922
497	0.2990162034
498	0.2982533005
499	0.298111884
500	0.2977535771
501	0.2976164409
502	0.2974641991
503	0.2971343262
504	0.296913663
505	0.2967358403
506	0.2960401286
507	0.2958859906
508	0.2958064695
509	0.2955800476
510	0.2954711734
511	0.2948889515
512	0.2942283063
513	0.2936629058
514	0.2935667898
515	0.2932978374
516	0.2924103427
517	0.29179072
518	0.2910109755
519	0.2908317268
520	0.2905973784
521	0.2901087219
522	0.2898853744
523	0.2889541329
524	0.288619451
525	0.2885068641
526	0.28822529
527	0.2878154123
528	0.2877347104
529	0.2870999759
530	0.2863682444
531	0.2860591543
532	0.2859779805
533	0.285616892
534	0.2850004832
535	0.2846125842
536	0.2837854518
537	0.2828277951
538	0.2825973545
539	0.2821610738
540	0.2820860314
541	0.2819590689
542	0.2818828862
543	0.2809901705
544	0.2806121211
545	0.2800972223
546	0.2799283575
547	0.2794067801
548	0.2791893656
549	0.2788510964
550	0.2787132679
551	0.2782953676
552	0.2775347746
553	0.2774266381
554	0.276994801
555	0.2767898393
556	0.2766050318
557	0.2759004822
558	0.2753961105
559	0.2747485901
560	0.274557392
561	0.2741386043
562	0.2737014105
563	0.2732570045
564	0.2730479953
565	0.2726074931
566	0.2724703901
567	0.2721468996
568	0.271745146
569	0.2716712598
570	0.2715133067
571	0.2713493305
572	0.2712527663
573	0.2707294341
574	0.2706541336
575	0.2704992996
576	0.2703780007
577	0.2701475839
578	0.2699180175
579	0.269844133
580	0.2697802003
581	0.2694094902
582	0.2690890065
583	0.2689082049
584	0.2688032617
585	0.2683501117
586	0.2679166199
587	0.2678457366
588	0.2675383653
589	0.2671823575
590	0.2669381116
591	0.2668345966
592	0.266779848
593	0.2666070636
594	0.2664218671
595	0.2661989003
596	0.2658543631
597	0.265684483
598	0.2651753757
599	0.2649859241
600	0.2643390272
601	0.2641248329
602	0.2640658858
603	0.2636384449
604	0.2631355245
605	0.2630300882
606	0.2628694846
607	0.2627167737
608	0.2626574447
609	0.2623435493
610	0.2619128762
611	0.2615965953
612	0.2612576519
613	0.2607999872
614	0.260487822
615	0.2601608845
616	0.2598658659
617	0.259619809
618	0.2593302904
619	0.2590290652
620	0.2588826629
621	0.2587077633
622	0.2584776198
623	0.2583207021
624	0.2579773417
625	0.2578114575
626	0.2574390324
627	0.2573838905
628	0.2572092413
629	0.2571305486
630	0.2569797164
631	0.2569164693
632	0.2563336143
633	0.2562790324
634	0.2561349053
635	0.2559440606
636	0.2554543094
637	0.2550540617
638	0.2545793214
639	0.2544751
640	0.2543066004
641	0.2538777849
642	0.2537300476
643	0.2535054552
644	0.2527449267
645	0.2523976757
646	0.252344161
647	0.2522889759
648	0.2522127181
649	0.2518429628
650	0.251790301
651	0.251258682
652	0.2509174705
653	0.2507252412
654	0.2504597383
655	0.2500523472
656	0.2499945097
657	0.2498677571
658	0.2497923908
659	0.2493484374
660	0.2487958487
661	0.2485434509
662	0.2482013138
663	0.2478398804
664	0.2475805044
665	0.247284346
666	0.2471217518
667	0.2469937222
668	0.2467232737
669	0.2462999158
670	0.2461545005
671	0.2458342197
672	0.2454754289
673	0.2452847498
674	0.2447661209
675	0.2446320942
676	0.2445171447
677	0.2442497829
678	0.2440947583
679	0.2439630724
680	0.2437102107
681	0.2436145517
682	0.243225394
683	0.2431351206
684	0.242878601
685	0.2425071735
686	0.2424608133
687	0.2424101441
688	0.241980602
689	0.2415459866
690	0.2412943323
691	0.2410913535
692	0.2406103877
693	0.2405629523
694	0.2399808457
695	0.2396301617
696	0.2394405328
697	0.2389134175
698	0.2388619169
699	0.2383470143
700	0.2381559966
701	0.2376181333
702	0.237349341
703	0.2369639574
704	0.2368313427
705	0.236203432
706	0.2357321705
707	0.2355828807
708	0.2353319494
709	0.23520458
710	0.2350006986
711	0.2347766437
712	0.2344000214
713	0.2340860914
714	0.2338830897
715	0.2334851135
716	0.2333242982
717	0.2327084975
718	0.2325538911
719	0.2322043156
720	0.2320849141
721	0.2319067777
722	0.2318572379
723	0.231745778
724	0.2311599849
725	0.2307876083
726	0.2304793558
727	0.2302841374
728	0.2301823577
729	0.2301277195
730	0.2299320471
731	0.2298608916
732	0.2297115411
733	0.2295871011
734	0.2294842522
735	0.2293748739
736	0.229196705
737	0.2290985014
738	0.2289253491
739	0.2288789864
740	0.2287947292
741	0.2287447116
742	0.2286352789
743	0.22843418
744	0.2282197086
745	0.2280775857
746	0.2279964892
747	0.227652584
748	0.2275779924
749	0.2270903256
750	0.2266298739
751	0.2265826204
752	0.2264024767
753	0.2258211821
754	0.2256999296
755	0.2254382311
756	0.2251522796
757	0.2248401081
758	0.224620755
759	0.2244138991
760	0.2240482709
761	0.223890808
762	0.2235362798
763	0.2227424483
764	0.2225897043
765	0.2225461909
766	0.222423903
767	0.2222152249
768	0.2217354957
769	0.2216894698
770	0.2213466823
771	0.2211107206
772	0.2207078783
773	0.2206507094
774	0.220214524
775	0.2198481752
776	0.2196434802
777	0.2193892733
778	0.219170441
779	0.2186668993
780	0.2184769544
781	0.2184354807
782	0.2180314728
783	0.2176701281
784	0.2172881331
785	0.2169397424
786	0.2166387536
787	0.2165785287
788	0.2161619653
789	0.2160762547
790	0.2158261604
791	0.2154181432
792	0.215328415
793	0.214604064
794	0.2139249755
795	0.2137398731
796	0.2135867145
797	0.2132302362
798	0.2130181309
799	0.2126981741
800	0.212567362
801	0.2123649271
802	0.2122696768
803	0.2121681659
804	0.2119913216
805	0.2119450097
806	0.2118338441
807	0.211366274
808	0.2109691042
809	0.210872102
810	0.2105847602
811	0.2099065368
812	0.2097933765
813	0.2097434456
814	0.2096802109
815	0.2096230379
816	0.2095280953
817	0.2094470287
818	0.209116896
819	0.2087873185
820	0.2085513933
821	0.2083470119
822	0.2081435715
823	0.2080278559
824	0.2075934469
825	0.2071019115
826	0.2069299857
827	0.2068298049
828	0.2063853517
829	0.2063028135
830	0.2058596912
831	0.2054912482
832	0.2051118354
833	0.2050180011
834	0.2048939638
835	0.2046918609
836	0.2046433604
837	0.2041551471
838	0.2040319209
839	0.2038228791
840	0.2035738243
841	0.2032513301
842	0.2027801081
843	0.202731906
844	0.2025660973
845	0.2024137973
846	0.2022196298
847	0.2019441934
848	0.2018129509
849	0.2016447487
850	0.2014551886
851	0.2013939984
852	0.2013241193
853	0.2012401833
854	0.2009346784
855	0.2008500377
856	0.200467294
857	0.2003144276
858	0.2001332717
859	0.2000075204
860	0.1995612481
861	0.199331679
862	0.1992680005
863	0.1988768099
864	0.1985877085
865	0.1983615599
866	0.1982812012
867	0.1981241028
868	0.1975583652
869	0.1971687374
870	0.197109862
871	0.196945337
872	0.1967249206
873	0.1966602882
874	0.1965957004
875	0.19650796
876	0.1962828297
877	0.196103834
878	0.1959446408
879	0.1958970136
880	0.1956974548
881	0.1956107245
882	0.1955227595
883	0.195152977
884	0.1950319365
885	0.1948726402
886	0.1946793816
887	0.1945220603
888	0.1941997902
889	0.1941514189
890	0.1939513285
891	0.1939112396
892	0.1937208754
893	0.193481677
894	0.1929532793
895	0.1927977542
896	0.192464185
897	0.1923059076
898	0.1921451982
899	0.1919323179
900	0.1914489548
901	0.1910572266
902	0.1909897098
903	0.1907934703
904	0.1905127683
905	0.1904721044
906	0.1902054698
907	0.189976882
908	0.1897152152
909	0.1896674196
910	0.1894227533
911	0.1893171589
912	0.1891085617
913	0.1890026566
914	0.188958842
915	0.1887914804
916	0.1885732953
917	0.1884535937
918	0.1880950462
919	0.1879571296
920	0.1878081428
921	0.1875838827
922	0.1875362376
923	0.1873844906
924	0.1871659618
925	0.1870167828
926	0.1868780598
927	0.1868334677
928	0.1866139383
929	0.1864678045
930	0.18641342
931	0.1861500553
932	0.186011568
933	0.1857482765
934	0.1856040405
935	0.1854975674
936	0.1852406038
937	0.1851204655
938	0.1849342459
939	0.1848271331
940	0.1845878232
941	0.1845425104
942	0.1845165256
943	0.1844689129
944	0.1843992865
945	0.1843714332
946	0.1843060522
947	0.1841213178
948	0.1837486428
949	0.1834741291
950	0.1833422117
951	0.1832244913
952	0.1831684181
953	0.182966334
954	0.1827381232
955	0.1826241145
956	0.1825963384
957	0.1825573632
958	0.182391412
959	0.1823225488
960	0.1819273586
961	0.181803595
962	0.1815890978
963	0.1812265453
964	0.1810369937
965	0.1804799437
966	0.1804131263
967	0.180251011
968	0.179928363
969	0.1798834979
970	0.1798345208
971	0.1796948048
972	0.1795090766
973	0.179471463
974	0.179380526
975	0.1792392689
976	0.1791154093
977	0.179080374
978	0.1789933415
979	0.1789577152
980	0.1786787495
981	0.1786362824
982	0.1785714672
983	0.178532374
984	0.178314655
985	0.1781768151
986	0.1778352921
987	0.1775757397
988	0.1773849909
989	0.1772100006
990	0.1770018217
991	0.1769613617
992	0.1768003822
993	0.1766138985
994	0.1765052117
995	0.1762854977
996	0.1761920884
997	0.1760930888
998	0.1760637019
999	0.1757170864
